"Timestamp","Escuela","Grado","Sección / Curso","Edad","Género","¿En qué lugar usás comúnmente la computadora?","¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?","¿Dónde aprendiste a usar la computadora (podés elegir más de una opción) ?","¿Qué celular usás?","Si usás celular: ¿qué haces cuando usás el celular (podés elegir más de una opción)?","¿Dónde se almacenan los videos que están en YouTube?","¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?","Cuando le mando a una amiga una foto por WhatsApp...","Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?","Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?","Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?","¿Conocés o alguna vez usaste Wikipedia?","Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
"2022/11/24 11:24:55 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","Le mando una copia de mi foto.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular","Con Internet podemos hacer más cosas que con la nube.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 11:25:11 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Masculino","En la escuela","Juego juegos;Hago la tarea","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de un satélite.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 11:25:34 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Masculino","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Hablo por teléfono;Juego juegos","No sé","Yo y otras personas.","No sé","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","No sé.","No sé","","","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/24 11:25:44 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En mi casa","Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una antena.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Google Maps descarga sus mapas de la nube","Internet y la nube no tienen funciones en común.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:25:46 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Femenino","En mi casa","Juego juegos;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Hablo por teléfono;Juego juegos","En la nube","Yo y otras personas.","Le doy permiso para ver la foto que tengo guardada en mi celular.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una parte del celular","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Google Maps descarga sus mapas de la nube","No sé.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 11:26:13 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Masculino","En mi casa","Hago la tarea","Aprendí solo","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos;Investigo en Wikipedia","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;Podemos utilizar la nube sin conexión a Internet;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 11:27:04 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Masculino","En mi casa","Juego juegos","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Hablo por teléfono;Juego juegos","En la nube","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:27:33 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En la escuela","Juego juegos;Hago la tarea","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Juego juegos","En una computadora","Yo y otras personas.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","No sé","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:27:41 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En la escuela","Juego juegos;Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En una computadora","Solo yo.","Le mando una copia de mi foto.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","No",""
"2022/11/24 11:28:07 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Masculino","En mi casa","Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono","No sé","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
